0,1,2,3,4,5,6,7,8,9,10,11,12,13
29,4,62395,11,9,4,12,1,4,0,1,0,38,39
19,4,186999,11,9,4,4,3,4,0,2,0,22,39
37,4,153237,11,9,4,7,2,4,0,1,0,39,39
30,4,191144,3,3,4,8,1,4,0,1,0,40,30
42,4,213088,11,9,4,4,2,4,0,1,0,41,39
18,4,150655,2,8,4,9,3,4,0,2,0,10,39
19,4,231063,11,9,4,12,3,4,0,2,0,36,39
27,4,175926,11,9,4,12,3,4,0,1,0,38,39
20,4,117353,11,9,4,7,1,4,0,1,0,32,39
57,4,150807,11,9,4,1,1,4,0,1,0,27,39
30,4,174046,10,10,4,12,1,4,0,1,0,39,39
25,4,193251,11,9,4,2,3,4,0,1,0,39,39
21,4,334118,11,9,4,1,1,4,0,1,0,40,39
21,4,205738,11,9,4,1,3,4,0,1,0,41,39
20,4,128584,11,9,4,8,1,4,0,1,0,39,39
19,4,49831,11,9,4,7,3,4,0,2,0,27,39
38,4,301436,11,9,4,8,1,4,0,1,0,32,39
22,4,188667,11,9,4,9,3,4,0,2,0,39,39
25,4,237742,11,9,4,8,1,4,0,1,0,42,39
18,4,115604,4,9,4,12,3,4,0,2,1,11,39
29,4,192990,8,11,4,10,3,4,0,2,0,38,39
28,4,156884,11,9,4,8,1,4,0,1,0,37,39
38,4,253859,9,13,4,8,1,4,0,1,0,41,39
23,4,268374,8,11,4,12,3,4,0,2,0,37,39
35,4,386904,11,9,4,7,1,4,0,1,0,38,39
30,4,43055,9,13,4,10,1,4,0,1,0,39,39
25,4,236131,11,9,4,1,1,4,0,0,0,36,39
23,4,187937,9,13,4,1,1,4,0,0,0,42,39
23,4,190913,9,13,4,12,1,4,0,1,0,38,39
26,4,196836,11,9,4,3,1,4,0,1,0,47,39
24,4,334162,11,9,4,1,1,4,0,1,0,40,39
46,4,39558,11,9,4,1,1,4,0,1,0,41,39
24,4,435809,11,9,4,1,3,4,0,1,0,41,39
28,4,158100,11,9,4,8,3,4,0,1,0,38,39
21,4,200090,4,10,4,9,1,4,0,1,0,25,39
19,4,182451,11,9,4,8,3,4,0,2,0,19,39
20,4,107554,11,9,4,8,1,4,0,1,0,33,39
25,4,182586,11,9,4,8,1,4,0,1,0,46,39
19,4,216805,11,9,4,8,3,4,0,2,0,15,39
18,4,194131,1,7,4,12,3,4,0,2,1,7,39
29,4,233679,11,9,4,1,3,4,0,1,0,39,39
33,4,170279,11,9,4,12,3,4,0,1,0,39,39
21,4,89618,11,9,4,7,3,4,0,2,0,36,39
42,4,223455,11,9,5,12,1,4,0,1,0,24,39
35,4,280184,11,9,4,2,1,4,0,1,0,40,39
18,4,222536,1,7,4,8,3,4,0,2,0,23,39
27,4,268293,9,13,4,5,1,4,0,1,0,40,39
38,4,179501,11,9,5,12,1,4,0,1,0,45,39
24,4,345147,9,13,4,12,1,4,0,1,0,41,39
21,4,191134,11,9,4,8,3,4,0,2,0,38,39
26,4,174495,11,9,4,1,1,4,0,0,0,40,39
21,4,149882,11,9,4,7,3,4,0,2,0,40,39
21,4,177942,11,9,4,1,3,4,0,1,0,42,39
19,4,247821,11,9,4,12,3,4,0,2,0,38,39
38,4,217484,11,9,4,3,1,4,0,1,0,40,39
19,4,177508,6,5,4,12,3,4,0,4,0,38,39
20,4,215247,11,9,4,8,3,4,0,2,0,41,39
26,4,166467,9,13,4,10,3,4,0,2,0,17,39
19,4,148720,11,9,4,8,3,4,0,2,0,15,39
22,4,196007,11,9,4,1,2,4,0,1,0,40,39
36,4,164310,11,9,4,1,1,4,0,0,0,40,39
27,4,398744,11,9,4,1,1,4,0,1,0,39,39
26,4,362113,11,9,4,1,1,4,0,1,0,40,39
19,4,220285,11,9,4,8,3,4,0,2,0,18,39
55,4,285144,11,9,4,1,1,4,0,1,0,38,39
20,4,240091,11,9,4,12,3,4,0,2,0,38,39
34,4,220165,11,10,4,1,1,4,0,1,0,38,39
20,4,293527,11,9,4,1,1,4,0,1,0,41,39
23,4,221317,11,9,4,8,3,4,0,1,0,28,39
28,4,48430,8,11,4,12,1,4,0,1,0,27,39
28,4,193564,11,9,4,13,1,4,0,1,0,40,39
39,4,275977,11,9,4,1,1,4,0,1,0,38,39
19,4,164654,3,9,4,9,3,4,0,2,0,15,39
19,4,97743,11,9,4,8,3,4,0,3,0,33,39
33,4,207364,11,9,4,9,1,4,0,1,0,57,39
34,4,191174,9,13,4,10,1,4,0,1,0,42,39
18,4,109702,0,6,4,12,3,4,0,5,0,31,39
18,4,135598,0,6,4,12,3,4,0,5,1,10,39
19,4,431790,11,9,4,1,3,4,0,1,0,37,39
24,4,244976,11,9,4,8,1,4,0,1,0,35,39
23,4,269703,11,9,4,8,1,4,0,1,0,24,39
26,4,220841,4,3,4,7,2,4,0,1,0,41,26
19,4,241403,11,9,4,12,3,4,0,2,0,38,39
59,4,142917,11,9,4,1,1,4,0,1,0,41,39
33,4,157817,9,13,4,12,1,4,0,1,0,42,39
34,4,300196,9,13,4,1,1,4,0,1,0,41,39
